STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,MONTH,DAY_WEEK,ROUTE,MAN_COLL,DRUNK_DR,FATALS
California,61532,2,2,0,0,September,Saturday,6,6,0,1
California,61533,2,2,0,0,July,Tuesday,9,0,0,1
California,61534,1,1,0,1,August,Saturday,9,0,0,1
California,61535,3,2,1,0,September,Saturday,6,6,0,1
California,61536,2,2,0,0,August,Wednesday,9,6,0,1
California,61537,1,1,0,0,August,Friday,9,0,1,1
California,61538,1,1,0,1,August,Monday,9,0,0,1
California,61539,4,4,0,0,June,Saturday,1,1,0,1
California,61540,2,2,0,0,January,Tuesday,1,1,0,2
California,61541,1,1,0,1,August,Tuesday,9,0,1,1
California,61542,1,1,0,1,September,Monday,9,0,0,1
California,61543,2,2,0,0,September,Friday,9,6,0,1
California,61544,1,1,0,1,June,Thrusday,9,0,0,1
California,61545,2,2,0,0,September,Sunday,9,2,1,1
California,61546,1,1,0,0,May,Friday,3,0,0,1
California,61547,2,1,1,0,January,Monday,1,0,0,1
California,61548,2,2,0,0,May,Saturday,1,1,1,1
California,61549,1,1,0,0,August,Wednesday,3,0,0,1
California,61550,3,3,0,2,April,Sunday,3,6,1,1
California,61551,2,1,1,0,March,Sunday,3,0,0,1
California,61552,2,2,0,0,April,Wednesday,9,2,0,1
California,61553,1,1,0,0,July,Saturday,4,0,0,2
California,61554,5,5,0,1,April,Friday,1,0,0,1
California,61555,1,1,0,0,April,Tuesday,1,0,0,1
California,61556,1,1,0,1,April,Tuesday,3,0,0,1
California,61557,1,1,0,0,June,Saturday,3,0,1,1
California,61558,1,1,0,1,July,Sunday,3,0,0,1
California,61559,1,1,0,0,September,Monday,2,0,1,1
California,61560,1,1,0,0,October,Sunday,3,0,0,1
California,61561,2,1,1,1,September,Wednesday,3,0,0,1
California,61562,4,4,0,1,July,Sunday,9,0,0,1
California,61563,2,2,0,0,August,Friday,2,7,0,1
California,61564,2,2,0,0,June,Sunday,9,0,0,1
California,61565,1,1,0,1,September,Monday,9,0,1,1
California,61566,2,2,0,0,September,Tuesday,9,2,1,1
California,61567,3,3,0,0,June,Tuesday,9,6,1,1
California,61568,1,1,0,0,August,Sunday,9,0,0,1
California,61569,1,1,0,0,August,Friday,9,0,1,1
